Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
-0.79620361328125;812.407687948868;-6.4300537109375E-06;3;3323;0.00130073870718479;-0.00174695737659931;10 µA
-0.79376220703125;812.651828948251;-6.4208984375E-06;3;3324;0.00130073870718479;-0.00174695737659931;10 µA
-0.79132080078125;812.895969947635;-6.414794921875E-06;3;3325;0.00130073870718479;-0.00174695737659931;10 µA
-0.78887939453125;813.140110947019;-6.40869140625E-06;3;3326;0.00130073870718479;-0.00174695737659931;10 µA
-0.78643798828125;813.384251946402;-6.402587890625E-06;3;3327;0.00130073870718479;-0.00174695737659931;10 µA
-0.78399658203125;813.628392945786;-6.3995361328125E-06;3;3328;0.00130073870718479;-0.00174695737659931;10 µA
-0.78155517578125;813.872533945169;-6.390380859375E-06;3;3329;0.00130073870718479;-0.00174695737659931;10 µA
-0.77911376953125;814.116674944553;-6.38427734375E-06;3;3330;0.00130073870718479;-0.00174695737659931;10 µA
-0.77667236328125;814.360815943937;-6.3751220703125E-06;3;3331;0.00130073870718479;-0.00174695737659931;10 µA
-0.77423095703125;814.60495694332;-6.3720703125E-06;3;3332;0.00130073870718479;-0.00174695737659931;10 µA
-0.77178955078125;814.849097942704;-6.3690185546875E-06;3;3333;0.00130073870718479;-0.00174695737659931;10 µA
-0.76934814453125;815.093238942087;-6.35986328125E-06;3;3334;0.00130073870718479;-0.00174695737659931;10 µA
-0.76690673828125;815.337379941471;-6.34765625E-06;3;3335;0.00130073870718479;-0.00174695737659931;10 µA
-0.76446533203125;815.581520940855;-6.341552734375E-06;3;3336;0.00130073870718479;-0.00174695737659931;10 µA
-0.76202392578125;815.825661940238;-6.3385009765625E-06;3;3337;0.00130073870718479;-0.00174695737659931;10 µA
-0.75958251953125;816.069802939622;-6.3323974609375E-06;3;3338;0.00130073870718479;-0.00174695737659931;10 µA
-0.75714111328125;816.313943939005;-6.3232421875E-06;3;3339;0.00130073870718479;-0.00174695737659931;10 µA
-0.75469970703125;816.558084938389;-6.3140869140625E-06;3;3340;0.00130073870718479;-0.00174695737659931;10 µA
-0.75225830078125;816.802225937773;-6.3018798828125E-06;3;3341;0.00130073870718479;-0.00174695737659931;10 µA
-0.74981689453125;817.046366937156;-6.2957763671875E-06;3;3342;0.00130073870718479;-0.00174695737659931;10 µA
-0.74737548828125;817.29050793654;-6.292724609375E-06;3;3343;0.00130073870718479;-0.00174695737659931;10 µA
-0.74493408203125;817.534648935923;-6.2835693359375E-06;3;3344;0.00130073870718479;-0.00174695737659931;10 µA
-0.74249267578125;817.778789935307;-6.2713623046875E-06;3;3345;0.00130073870718479;-0.00174695737659931;10 µA
-0.74005126953125;818.022930934691;-6.2591552734375E-06;3;3346;0.00130073870718479;-0.00174695737659931;10 µA
-0.73760986328125;818.267071934074;-6.2530517578125E-06;3;3347;0.00130073870718479;-0.00174695737659931;10 µA
-0.73516845703125;818.511212933458;-6.25E-06;3;3348;0.00130073870718479;-0.00174695737659931;10 µA
-0.73272705078125;818.755353932841;-6.2408447265625E-06;3;3349;0.00130073870718479;-0.00174695737659931;10 µA
-0.73028564453125;818.999494932225;-6.2286376953125E-06;3;3350;0.00130073870718479;-0.00174695737659931;10 µA
-0.72784423828125;819.243635931609;-6.21337890625E-06;3;3351;0.00130073870718479;-0.00174695737659931;10 µA
-0.72540283203125;819.487776930992;-6.207275390625E-06;3;3352;0.00130073870718479;-0.00174695737659931;10 µA
-0.72296142578125;819.731917930376;-6.201171875E-06;3;3353;0.00130073870718479;-0.00174695737659931;10 µA
-0.72052001953125;819.976058929759;-6.1920166015625E-06;3;3354;0.00130073870718479;-0.00174695737659931;10 µA
-0.71807861328125;820.220199929143;-6.182861328125E-06;3;3355;0.00130073870718479;-0.00174695737659931;10 µA
-0.71563720703125;820.464340928527;-6.1676025390625E-06;3;3356;0.00130073870718479;-0.00174695737659931;10 µA
-0.71319580078125;820.70848192791;-6.158447265625E-06;3;3357;0.00130073870718479;-0.00174695737659931;10 µA
-0.71075439453125;820.952622927294;-6.1553955078125E-06;3;3358;0.00130073870718479;-0.00174695737659931;10 µA
-0.70831298828125;821.196763926677;-6.1492919921875E-06;3;3359;0.00130073870718479;-0.00174695737659931;10 µA
-0.70587158203125;821.440904926061;-6.14013671875E-06;3;3360;0.00130073870718479;-0.00174695737659931;10 µA
-0.70343017578125;821.685045925445;-6.1279296875E-06;3;3361;0.00130073870718479;-0.00174695737659931;10 µA
-0.70098876953125;821.929186924828;-6.121826171875E-06;3;3362;0.00130073870718479;-0.00174695737659931;10 µA
-0.69854736328125;822.173327924212;-6.11572265625E-06;3;3363;0.00130073870718479;-0.00174695737659931;10 µA
-0.69610595703125;822.417468923595;-6.1126708984375E-06;3;3364;0.00130073870718479;-0.00174695737659931;10 µA
-0.69366455078125;822.661609922979;-6.1065673828125E-06;3;3365;0.00130073870718479;-0.00174695737659931;10 µA
-0.69122314453125;822.905750922363;-6.097412109375E-06;3;3366;0.00130073870718479;-0.00174695737659931;10 µA
-0.68878173828125;823.149891921746;-6.09130859375E-06;3;3367;0.00130073870718479;-0.00174695737659931;10 µA
-0.68634033203125;823.39403292113;-6.0882568359375E-06;3;3368;0.00130073870718479;-0.00174695737659931;10 µA
-0.68389892578125;823.638173920514;-6.0882568359375E-06;3;3369;0.00130073870718479;-0.00174695737659931;10 µA
-0.68145751953125;823.882314919897;-6.085205078125E-06;3;3370;0.00130073870718479;-0.00174695737659931;10 µA
-0.67901611328125;824.126455919281;-6.0791015625E-06;3;3371;0.00130073870718479;-0.00174695737659931;10 µA
-0.67657470703125;824.370596918664;-6.072998046875E-06;3;3372;0.00130073870718479;-0.00174695737659931;10 µA
-0.67413330078125;824.614737918048;-6.0699462890625E-06;3;3373;0.00130073870718479;-0.00174695737659931;10 µA
-0.67169189453125;824.858878917432;-6.0699462890625E-06;3;3374;0.00130073870718479;-0.00174695737659931;10 µA
-0.66925048828125;825.103019916815;-6.06689453125E-06;3;3375;0.00130073870718479;-0.00174695737659931;10 µA
